rodada,partida_id,placar,placar_mandante,placar_visitante,status,data_realizacao,edicao.edicao_id,edicao.temporada,edicao.nome_popular,campeonato.campeonato_id,campeonato.nome,campeonato.slug,time_mandante.time_id,time_mandante.nome_popular,time_mandante.sigla,time_mandante.escudo,time_visitante.time_id,time_visitante.nome_popular,time_visitante.sigla,time_visitante.escudo,estadio.estadio_id,estadio.nome_popular,rodada_num,time_mandante.valor,time_visitante.valor
22a-rodada,20212292,2x0,2,0,finalizado,45515,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Bahia,,,,Vitória,,,,Arena Fonte Nova,22,37450000,12180000
22a-rodada,1579326,3x2,3,2,finalizado,45515,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Juventude,,,,Botafogo,,,,Estádio Alfredo Jaconi ,22,6900000,53800000
22a-rodada,90026554,1x3,1,3,finalizado,45515,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cuiabá,,,,Grêmio,,,,Arena Pantanal,22,12450000,37800000
22a-rodada,30442071,1x0,1,0,finalizado,45515,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,São Paulo,,,,Atlético-GO,,,,MorumBIS,22,29900000,9400000
22a-rodada,23447076,1x1,1,1,finalizado,45515,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Corinthians,,,,Bragantino,,,,Neo Química Arena ,22,26100000,40000000
22a-rodada,91544854,2x0,2,0,finalizado,45515,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Vasco,,,,Fluminense,,,,Estádio Olímpico Nilton Santos,22,21300000,55350000
22a-rodada,15036916,0x0,0,0,finalizado,45515,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cruzeiro,,,,Atlético-MG,,,,Estádio Governador Magalhães Pinto,22,42100000,63500000
22a-rodada,78657206,1x1,1,1,finalizado,45515,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Flamengo,,,,Palmeiras,,,,Estádio Jornalista Mário Filho,22,118000000,75000000
22a-rodada,563850,2x2,2,2,finalizado,45516,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Internacional,,,,Athletico-PR,,,,Estádio Beira-Rio,22,32000000,21450000
6a-rodada,94871585,2x1,2,1,finalizado,45519,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Internacional,,,,Juventude,,,,Estádio Beira-Rio,6,26550000,9450000
23a-rodada,53209976,1x1,1,1,finalizado,45521,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-MG,,,,Cuiabá,,,,Arena MRV,23,27850000,13650000
23a-rodada,23779869,0x2,0,2,finalizado,45521,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Grêmio,,,,Bahia,,,,Estádio Alfredo Jaconi ,23,27000000,37450000
23a-rodada,42981333,1x2,1,2,finalizado,45521,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Bragantino,,,,Fortaleza,,,,Estádio Nabi Abi Chedid,23,30450000,13350000
23a-rodada,14700937,4x1,4,1,finalizado,45522,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Botafogo,,,,Flamengo,,,,Estádio Olímpico Nilton Santos,23,60800000,70700000
23a-rodada,88541180,1x0,1,0,finalizado,45522,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-GO,,,,Internacional,,,,Estádio Antonio Accioly,23,8550000,26150000
23a-rodada,87383190,2x1,2,1,finalizado,45522,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Palmeiras,,,,São Paulo,,,,Allianz Parque,23,85600000,31700000
23a-rodada,27835898,1x2,1,2,finalizado,45522,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Athletico-PR,,,,Juventude,,,,Ligga Arena,23,21450000,7100000
23a-rodada,75255841,2x2,2,2,finalizado,45522,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Criciúma,,,,Vasco,,,,Estádio Heriberto Hülse,23,6200000,37800000
23a-rodada,61865981,0x0,0,0,finalizado,45522,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Fluminense,,,,Corinthians,,,,Estádio Jornalista Mário Filho,23,47500000,35300000
23a-rodada,48027142,2x2,2,2,finalizado,45524,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Vitória,,,,Cruzeiro,,,,Estádio Manoel Barradas,23,13080000,34200000
24a-rodada,97657233,5x0,5,0,finalizado,45528,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Palmeiras,,,,Cuiabá,,,,Estádio Brinco de Ouro da Princesa,24,98500000,12250000
24a-rodada,88373079,2x1,2,1,finalizado,45528,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-GO,,,,Juventude,,,,Estádio Antonio Accioly,24,7850000,8000000
24a-rodada,93216988,2x1,2,1,finalizado,45529,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,São Paulo,,,,Vitória,,,,MorumBIS,24,22150000,12480000
24a-rodada,24012782,0x2,0,2,finalizado,45529,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-MG,,,,Fluminense,,,,Arena MRV,24,35500000,58400000
24a-rodada,51212253,0x0,0,0,finalizado,45529,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Bahia,,,,Botafogo,,,,Arena Fonte Nova,24,37450000,62200000
24a-rodada,27185397,1x0,1,0,finalizado,45529,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Fortaleza,,,,Corinthians,,,,Estádio Governador Plácido Castelo,24,16050000,35300000
24a-rodada,92494083,0x1,0,1,finalizado,45529,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Criciúma,,,,Grêmio,,,,Estádio Heriberto Hülse,24,8050000,41900000
